지형지물부호,관리번호,관리기관,행정구역,법정구역,법정동리,도로구간번호,공사번호,설치일자,정류장종류,정류장명,정류장유형,정류장고유번호,취득구분,취득금액,관리부서,내용연수,쉘터설치유무,설치유무(BIT),온열의자설치유무,비고,경도,위도
정류장,216,광주시,도척면,도척면,도척면 추곡리,260041, ,2000-01-01,공용,추곡리,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2918001,37.27386454
정류장,215,광주시,도척면,도척면,도척면 진우리,262844, ,2000-01-01,공용,신우냉장,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3407174,37.3210493
정류장,214,광주시,도척면,도척면,도척면 진우리,262461, ,2000-01-01,공용,근형심포니아파트앞,지붕유/표지판무, ,매입,0,대중교통과,10,,,, ,127.3357923,37.31774061
정류장,212,광주시,도척면,도척면,도척면 진우리,262481, ,2000-01-01,공용,진우2리,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3375082,37.32780688
정류장,211,광주시,곤지암읍,곤지암읍,곤지암읍 곤지암리,262678, ,2000-01-01,택시,TAXI정류장,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3406626,37.3497399
정류장,210,광주시,곤지암읍,곤지암읍,곤지암읍 곤지암리,262373, ,2000-01-01,공용,실촌읍사무소,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3444079,37.34918322
정류장,209,광주시,곤지암읍,곤지암읍,곤지암읍 곤지암리,262373, ,2000-01-01,공용,실촌읍사무소,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3441312,37.34914813
정류장,208,광주시,곤지암읍,곤지암읍,곤지암읍 곤지암리,262370, ,2000-01-01,공용,곤지암터미널,지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3415951,37.34988511
정류장,207,광주시,곤지암읍,곤지암읍,곤지암읍 곤지암리,262370, ,2000-01-01,택시,TAXI정류장,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3419152,37.34970356
정류장,206,광주시,초월읍,초월읍,초월읍 대쌍령리,240489, ,2000-01-01,공용,선린마을앞,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2878002,37.38990956
정류장,205,광주시,오포읍,오포읍,오포읍 문형리,121363, ,2000-01-01,공용,문형낙원타운앞,지붕무/표지판유, ,매입,0,대중교통과,10,,,, ,127.2122343,37.34979864
정류장,203,광주시,송정동,탄벌동,탄벌동,160403, ,2014-06-01,공용,광주경찰서_경남_벽산아파트,지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2393522,37.40942749
정류장,202,광주시,광남동,장지동,장지동,160403, ,2000-01-01,공용,벽산블루밍,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2384479,37.40758054
정류장,201,광주시,송정동,송정동,송정동,2091, ,2000-01-01,공용,광주시청,지붕유/표지판무, ,미분류,0,대중교통과,10,,,, ,127.2551155,37.42975308
정류장,200,광주시,송정동,송정동,송정동,2091, ,2000-01-01,택시,TAXI정류장,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2551762,37.42977848
정류장,125,광주시,광남동,장지동,장지동,160535, ,2010-05-04,공용,이마트물류,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2426411,37.3834446
정류장,124,광주시,광남동,장지동,장지동,160843, ,2010-05-04,공용,이마트물류,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2429862,37.38325158
정류장,123,광주시,남한산성면,남한산성면,남한산성면 광지원리,360067, ,2010-12-22,공용,남한산성입구,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2461973,37.46356682
정류장,122,광주시,송정동,송정동,송정동,645, ,2013-08-08,공용,밀목,지붕유/표지판무, ,,0,대중교통과,10,,,, ,127.2574505,37.42607221
정류장,121,광주시,송정동,송정동,송정동,645, ,2008-08-18,공용,밀목,지붕유/표지판무, ,미분류,0,대중교통과,10,,,, ,127.257385,37.42587156
정류장,119,광주시,송정동,송정동,송정동,2003, ,2008-01-01,공용,밀목빌라단지앞,지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2599226,37.43038334
정류장,118,광주시,송정동,송정동,송정동,2003, ,2008-01-01,일반버스,밀목앞,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2582162,37.42806417
정류장,117,광주시,송정동,송정동,송정동,2003, ,2008-01-01,일반버스,밀목앞,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.258031,37.42799608
정류장,116,광주시,광남동,장지동,장지동,160958, ,2010-07-29,택시,태봉콜택시정류장,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2315675,37.39287572
정류장,115,광주시,초월읍,초월읍,초월읍 지월리,240261, ,2009-01-19,일반버스,광주장례식장,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3023114,37.41356616
정류장,113,광주시,송정동,탄벌동,탄벌동,140655, ,2009-01-22,공용,부대앞,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2448476,37.42258381
정류장,112,광주시,송정동,탄벌동,탄벌동,140655, ,2009-01-22,공용,탄벌동입구,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2435049,37.424394
정류장,111,광주시,송정동,탄벌동,탄벌동,140655, ,2009-01-22,공용,회덕동정자나무,지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2410807,37.4281178
정류장,110,광주시,송정동,회덕동,회덕동,140655, ,2009-01-22,공용,회덕동정자나무,지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2408772,37.42840716
정류장,109,광주시,경안동,역동,역동,160029, ,2007-02-28,공용,"경안장례식장,e편한세상아파트",지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2445868,37.40100938
정류장,108,광주시,남종면,남종면,남종면 금사리,320011, ,2009-07-27,공용,금사리,지붕유/표지판무, ,미분류,0,대중교통과,10,,,, ,127.3064493,37.48822643
정류장,107,광주시,퇴촌면,퇴촌면,퇴촌면 도수리,360575, ,2009-10-01,일반버스,도수2리 마을회관 앞,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.318652,37.46951576
정류장,106,광주시,퇴촌면,퇴촌면,퇴촌면 도수리,360575, ,2009-10-01,일반버스,도수2리 마을회관 앞,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3187158,37.46956564
정류장,104,광주시,경안동,경안동,경안동,399, ,2009-10-01,택시,광주시외버스터미널앞,지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2608314,37.40991569
정류장,103,광주시,경안동,경안동,경안동,399, ,2009-10-01,공용,광주시외버스터미널앞,지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2608964,37.40926136
정류장,102,광주시,송정동,송정동,송정동,2014, ,2009-01-01,공용,광주시청,지붕유/표지판유, ,매입,0,대중교통과,10,,,, ,127.2534621,37.42843282
정류장,101,광주시,송정동,송정동,송정동,2014, ,2009-01-01,공용,광주시청,지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2535612,37.42810456
정류장,100,광주시,송정동,송정동,송정동,2012, ,2009-01-01,공용,광주시청,지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2560551,37.42822229
정류장,54,광주시,송정동,목현동,목현동,140655, ,2000-01-01,공용,목현동입구,지붕무/표지판유, ,미분류,0,대중교통과,0,,,, ,127.2389301,37.42884935
정류장,53,광주시,송정동,목현동,목현동,140655, ,2000-01-01,공용,목현동입구,지붕무/표지판유, ,미분류,0,대중교통과,0,,,, ,127.2390737,37.42888458
정류장,51,광주시,송정동,목현동,목현동,140010, ,2000-01-01,공용,농업기술센터,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2351578,37.43261545
정류장,50,광주시,오포읍,오포읍,오포읍 신현리,6158, ,2019-01-01,공용,동심8차빌라,지붕무/표지판유,38-032,,0,대중교통과,0,,,, ,127.1643781,37.36361119
정류장,48,광주시,송정동,송정동,송정동,140647, ,2017-01-01,공용,회덕동대주아파트,지붕무/표지판유, ,매입,0,대중교통과,0,,,, ,127.2496483,37.42932118
정류장,47,미분류,,,,0, , ,일반버스,팻키지 마을,지붕무/표지판유, ,매입,0,대중교통과,0,,,, ,127.2115396,37.35833317
정류장,46,광주시,남종면,남종면,,320264, ,2013-01-01,일반버스,수청리,지붕유/표지판무, ,매입,0,대중교통과,0,,,, ,127.3694411,37.51660725
정류장,45,미분류,,,,0, , ,일반버스,팻키지 마을,지붕무/표지판유, ,매입,0,대중교통과,0,,,, ,127.2114358,37.35840165
정류장,44,광주시,퇴촌면,퇴촌면,,360826, ,2017-01-01,공용,우산1리 응달말,지붕무/표지판유, ,매입,0,대중교통과,10,,,, ,127.3684392,37.43097741
정류장,43,광주시,퇴촌면,퇴촌면,,360826, ,2017-01-01,공용,우산1리 응달말,지붕무/표지판유, ,매입,0,대중교통과,10,,,, ,127.3684167,37.4306991
정류장,42,광주시,경안동,역동,역동,37, ,2017-01-01,공용,역4통마을회관,지붕무/표지판유, ,매입,0,대중교통과,10,,,, ,127.2553119,37.40672005
정류장,41,광주시,송정동,송정동,송정동,931, ,1900-01-01,공용,파라다이스아파트앞,지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2565678,37.41864648
정류장,34,광주시,경안동,경안동,경안동,1816,RD20030013,2003-09-08,택시,보건소앞,지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2502037,37.41639198
정류장,33,광주시,경안동,경안동,경안동,1006,RD20040016,2004-12-31,공용,보건소앞,지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2509635,37.41607725
정류장,30,광주시,경안동,경안동,경안동,974, ,1900-01-01,공용,나산아파트앞,지붕유/표지판무, ,미분류,0,대중교통과,10,,,, ,127.2547993,37.41527351
정류장,29,광주시,송정동,송정동,송정동,127, ,1900-01-01,공용,상하수도사업소앞,지붕무/표지판유, ,,0,대중교통과,10,,,, ,127.2566898,37.41728597
정류장,28,광주시,송정동,송정동,송정동,127, ,1900-01-01,택시,TAXI 정류장,지붕유/표지판무, ,,0,대중교통과,10,,,, ,127.2567599,37.41673336
정류장,27,광주시,경안동,경안동,경안동,1812, ,1900-01-01,공용,파발교하단,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.254752,37.41403252
정류장,26,광주시,송정동,송정동,송정동,123, ,1900-01-01,마을버스,경안농협송정지소앞,지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2569943,37.41522842
정류장,25,광주시,경안동,경안동,경안동,1811, ,1900-01-01,공용,"파발교,최영일산부인과",지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2559589,37.41369715
정류장,24,광주시,경안동,경안동,경안동,942, ,1900-01-01,공용,파발교앞,지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2574688,37.41384353
정류장,23,광주시,경안동,경안동,경안동,321, ,1900-01-01,공용,제일정형외과앞,지붕유/표지판무, ,미분류,0,대중교통과,10,,,, ,127.257111,37.41326176
정류장,22,광주시,송정동,송정동,송정동,110, ,1900-01-01,공용,송정교,지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2602743,37.41470321
정류장,21,광주시,송정동,송정동,송정동,110, ,1900-01-01,공용,송정교앞,지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2600083,37.41448479
정류장,20,광주시,송정동,송정동,송정동,942, ,1900-01-01,공용,뉴경안주유소앞,지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2595229,37.41355536
정류장,17,광주시,경안동,경안동,경안동,288,RD20040008,2004-12-10,택시,시장입구,지붕유/표지판무, ,미분류,0,대중교통과,10,,,, ,127.2575032,37.40964669
정류장,16,광주시,퇴촌면,퇴촌면,퇴촌면 원당리,360399, ,2013-01-01,공용,원당1리,지붕유/표지판무, ,매입,0,대중교통과,0,,,, ,127.3158772,37.43681016
정류장,15,광주시,남한산성면,남한산성면,,340127, ,2015-01-01,공용,오전리마을회관,지붕무/표지판유, ,매입,0,대중교통과,0,,,, ,127.2326982,37.45412637
정류장,13,광주시,경안동,경안동,경안동,325, ,1900-01-01,택시,TAXI 정류장,지붕유/표지판유, ,,0,대중교통과,10,,,, ,127.2589747,37.4098597
정류장,12,광주시,경안동,경안동,경안동,399, ,1900-01-01,택시,국민은행앞,지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2605806,37.40879062
정류장,11,광주시,경안동,역동,역동,399, ,1900-01-01,공용,LG디지털,지붕유/표지판무, ,매입,0,대중교통과,10,,,, ,127.2606963,37.40794284
정류장,10,광주시,경안동,역동,역동,399, ,1900-01-01,공용,역동사거리앞,지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2610426,37.40793381
정류장,9,광주시,퇴촌면,퇴촌면,,360298, ,2012-01-01,공용,도마삼거리,지붕유/표지판무, ,매입,0,대중교통과,0,,,, ,127.2723943,37.46755141
정류장,7,광주시,남한산성면,남한산성면,,340182, ,2015-01-01,공용,검복리마을회관앞,지붕무/표지판유, ,매입,0,대중교통과,0,,,, ,127.2040122,37.46724932
정류장,6,광주시,초월읍,초월읍,초월읍 무갑리,2823, ,2014-01-01,일반버스,없음,지붕유/표지판무, ,기부채납,0,대중교통과,0,,,,정류장명칭없음,127.3090494,37.41653661
정류장,5,광주시,광남동,태전동,,160265, ,2014-01-01,일반버스,목림삼거리,지붕무/표지판유, ,매입,0,대중교통과,10,,,, ,127.2239131,37.39317122
정류장,4,광주시,경안동,역동,역동,396, ,1900-01-01,택시,임시정류장,지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2600164,37.40627404
정류장,3,광주시,경안동,역동,역동,44, ,1900-01-01,공용,구3번종점,지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2593049,37.40604728
정류장,2,광주시,경안동,역동,역동,481, ,1900-01-01,공용,역동입구,지붕유/표지판무, ,미분류,0,대중교통과,10,,,, ,127.2541071,37.40004777
